"Fuhu","42148%","$117.8m","Consumer Products & Services","California","Los Angeles",143,
"FederalConference.com","24831%","$49.6m","Government Services","Virginia","Washington DC",51,
"The HCI Group","24545%","$25.5m","Health","Florida","Jacksonville FL",113,
"Bridger","23308%","$1.9b","Energy","Texas","Dallas",50,
"DataXu","21337%","$87m","Advertising & Marketing","Massachusetts","Boston",220,
"Milestone Community Builders","17938%","$45.6m","Real Estate","Texas","Austin",63,
"Value Payment Systems","17404%","$25.4m","Financial Services","Tennessee","CBSA Metro Region",27,
"Emerge Digital Group","17064%","$23.8m","Advertising & Marketing","California","San Francisco",75,
"Goal Zero","16981%","$33.1m","Consumer Products & Services","Utah","Salt Lake City",97,
"Yagoozon","16689%","$18.6m","Retail","Rhode Island","Providence-New Bedford-Fall River RI-MA",15,
"OBXtek","16433%","$29.6m","Government Services","Virginia","Washington DC",149,
"AdRoll","15065%","$34.1m","Advertising & Marketing","California","San Francisco",200,
"uBreakiFix","14102%","$17m","Retail","Florida","Orlando FL",180,
"SPARC","12863%","$21.1m","Software","South Carolina","Charleston-North Charleston SC",160,
"LivingSocial","12333%","$536m","Consumer Products & Services","District of Columbia","Washington DC",4100,
"Amped Wireless","11068%","$14.2m","Computer Hardware","California","Riverside-San Bernardino-Ontario CA",26,
"Integrity Funding","10462%","$11m","Financial Services","Florida","Sarasota-Bradenton-Venice FL",11,
"Vertex Body Sciences","10010%","$11.7m","Food & Beverage","Ohio","Columbus OH",51,
"BlueKai","9245%","$26.7m","Advertising & Marketing","California","San Jose",107,
"Level 11","9044%","$9.6m","IT Services","Washington","Seattle",30,
"Patient Conversation Media","8782%","$9.7m","Health","Texas","Austin",59,
"Wingspan Portfolio Advisors","8769%","$76.9m","Financial Services","Texas","Dallas",1704,
"Vets First Choice","8585%","$14.6m","Health","Maine","Portland-South Portland ME",74,
"Timberhorn","8516%","$13.7m","IT Services","Texas","Dallas",175,
"BeenVerified","8443%","$13.7m","Consumer Products & Services","New York","New York City",17,
"Trada","8101%","$12.5m","Advertising & Marketing","Colorado","Boulder CO",75,
"Kony","7786%","$51.1m","Software","Florida","Orlando FL",1100,
"OneSource Virtual","7353%","$23.4m","Business Products & Services","Texas","Dallas",260,
"Sailthru","7322%","$8m","Advertising & Marketing","New York","New York City",79,
"Innovolt","7248%","$8m","Business Products & Services","Georgia","Atlanta",30,
"Provider Power","7224%","$56.7m","Energy","Maine","Lewiston-Auburn ME",50,
"Zurple","7112%","$7.6m","Software","California","San Diego",32,
"US Logistics","7087%","$48.3m","Logistics & Transportation","Ohio","Cincinnati",10,
"McAfee Institute","7063%","$15m","Education","Illinois","Peoria IL",15,
"Now Communications","6764%","$7m","Consumer Products & Services","Arizona","Phoenix",110,
"YellowHammer","6740%","$17.9m","Advertising & Marketing","New York","New York City",27,
"Conductor","6702%","$7.1m","Advertising & Marketing","New York","New York City",89,
"Intellect Resources","6554%","$30m","Health","North Carolina","Greensboro-High Point NC",675,
"Phunware","6527%","$8.1m","Software","Texas","Austin",92,
"NSR Solutions","6392%","$10m","Government Services","Maryland","Washington DC",252,
"Pangea Properties","6218%","$28.2m","Real Estate","Illinois","Chicago",348,
"Field Nation","6031%","$27.6m","Business Products & Services","Minnesota","Minneapolis",15,
"The Joint","5962%","$7.3m","Health","Arizona","Phoenix",14,
"Silver Spring Networks","5867%","$196.7m","Energy","California","San Francisco",566,
"ThinkLite","5525%","$8.4m","Energy","Massachusetts","Boston",14,
"29 Prime","5443%","$13.8m","Advertising & Marketing","California","Los Angeles",300,
"Cinium Financial Services","5365%","$5.9m","Financial Services","Florida","Miami",32,
"Solar Alliance of America","5337%","$17.2m","Energy","California","San Diego",4,
"Saratoga Roofing & Construction","5328%","$29.2m","Construction","Oklahoma","Oklahoma City OK",106,
