"Impact CNC","4930%","$19.5m","Manufacturing","Indiana","Fort Wayne IN",,100,
"Man Crates","4900%","$21.6m","Retail","California","San Francisco",,32,
"PrescribeWellness","4897%","$10.2m","Health","California","Los Angeles",,68,
"Elevate Services","4895%","$21.5m","Business Products & Services","California","Los Angeles",,419,
"PGM","4843%","$12.9m","Construction","California","Fresno CA",,35,
"ByteCubed","4768%","$11.6m","IT Services","Virginia","Washington DC",,70,
"Excel Group","4694%","$34.4m","Real Estate","Virginia","Washington DC",,4,
"MP Consulting Services","4665%","$4.7m","Construction","New Jersey","New York City",,9,
"Edufficient","4579%","$39.5m","Education","New Jersey","New York City",,38,
"Prime Time Healthcare","4396%","$25.6m","Health","Nebraska","Omaha-Council Bluffs NE-IA",,38,
"Orangetheory Fitness","4308%","$47m","Health","Florida","Miami",,93,
"Sparty Ventures","4272%","$5.5m","Advertising & Marketing","Arizona","Phoenix",,5,
"Sandlapper Capital Investments","4229%","$24.9m","Financial Services","South Carolina","Greenville-Anderson-Mauldin SC",,16,
"Downeast Cider House","4216%","$6m","Food & Beverage","Massachusetts","Boston",,34,
"NeuroStructures","4209%","$4.6m","Health","California","Santa Cruz-Watsonville CA",,10,
"Dollar Shave Club","4191%","$152.4m","Consumer Products & Services","California","Los Angeles",,180,
"Stratus Video","4190%","$11.5m","Telecommunications","Florida","Tampa",,111,
"United Commerce Group","4164%","$8.4m","Retail","Florida","Orlando FL",,20,
"AppLovin","4132%","$234.1m","Advertising & Marketing","California","San Jose",,100,
"Artist Travel Consultants","4121%","$6.2m","Travel & Hospitality","New York","New York City",,5,
"Talteam","4053%","$5m","IT Services","Virginia","Washington DC",,46,
"Chef's Cut Real Jerky","3980%","$7.4m","Food & Beverage","New York","New York City",,20,
"Na Ali'i","3946%","$9.9m","Government Services","Hawaii","Urban Honolulu HI",,57,
"Green Cloud Technologies","3931%","$7.1m","IT Services","South Carolina","Greenville-Anderson-Mauldin SC",,55,
"Greenspire","3885%","$6.9m","Energy","California","Los Angeles",,149,
"LA Solar Group","3876%","$11.9m","Energy","California","Los Angeles",,48,
"Leafly","3861%","$8.4m","Consumer Products & Services","Washington","Seattle",,40,
"Ecology Mir Group","3856%","$3.9m","Government Services","Virginia","Washington DC",,9,
"SJ Technologies","3802%","$14.5m","IT Services","District of Columbia","Washington DC",,26,
"West Hills Capital","3753%","$6.3m","Financial Services","Kansas","Wichita KS",,5,
"Discount Power (Texas)","3733%","$52.6m","Energy","Texas","Houston",,30,
"Lead Genesis","3729%","$14.9m","Energy","Nevada","Las Vegas-Henderson-Paradise NV",,24,
"TFM Truckload","3639%","$4.3m","Logistics & Transportation","Pennsylvania","Pittsburgh PA",,7,
"Youth Digital","3622%","$5.2m","Education","North Carolina","Durham-Chapel Hill NC",,185,
"InfoScout","3602%","$6.7m","Business Products & Services","California","San Francisco",,57,
"IMPACT Technology Recruiting","3566%","$12.4m","IT Services","Arizona","Phoenix",,80,
"Nutanix","3566%","$241.4m","Software","California","San Jose",,1368,
"TapClicks","3534%","$5.5m","Advertising & Marketing","California","San Jose",,96,
"Futurewave Systems","3499%","$14.7m","Human Resources","Georgia","Atlanta",,220,
"Worth Clark Realty","3493%","$5.1m","Real Estate","Missouri","St. Louis MO-IL",,13,
"TickPick","3488%","$23.7m","Consumer Products & Services","New York","New York City",,10,
"Konnected","3478%","$3.9m","Advertising & Marketing","Michigan","Detroit",,4,
"Solar Media Team","3428%","$4.3m","Advertising & Marketing","Florida","Miami",,65,
"DoubleMap","3415%","$3.5m","Logistics & Transportation","Indiana","Indianapolis IN",,39,
"Hireology","3386%","$3.6m","Business Products & Services","Illinois","Chicago",,94,
"OutboundEngine","3377%","$9.7m","Software","Texas","Austin",,200,
"HYPERICE","3366%","$4.5m","Consumer Products & Services","California","Los Angeles",,9,
"Cambridge Select","3341%","$37.7m","Retail","Massachusetts","Boston",,33,
"CATMEDIA","3323%","$17.4m","Government Services","Georgia","Atlanta",,28,
"ArrowCore Group","3307%","$4.7m","IT Services","Georgia","Atlanta",,42,
"Inoventures","3255%","$3.9m","Government Services","Virginia","Washington DC",,42,
"Render Media","3238%","$7.6m","Media","California","Los Angeles",,22,
"HomeWorks Energy","3168%","$10.1m","Energy","Massachusetts","Boston",,100,
"Redefy Real Estate","3154%","$9.6m","Real Estate","Colorado","Denver",,62,
"ipsy","3136%","$169.2m","Consumer Products & Services","California","San Francisco",,100,
"MeUndies","3133%","$16.3m","Retail","California","Los Angeles",,54,
"Flite Banking Centers","3129%","$4.2m","Business Products & Services","Texas","Houston",,10,
"CallRail","3070%","$6.2m","Software","Georgia","Atlanta",,34,
"Maxton & Company","3036%","$5m","Business Products & Services","California","San Francisco",,8,
"Cognitive Medical Systems","2997%","$13m","Health","California","San Diego",,54,
"Herman Integration Services","2982%","$8.4m","Business Products & Services","Florida","Miami",,80,
"BahFed","2963%","$13.7m","Government Services","Oregon","Portland OR",,10,
"MS3","2946%","$3.3m","IT Services","West Virginia","Washington DC",,35,
"E-Telequote Insurance","2909%","$15.5m","Insurance","Florida","Tampa",,81,
"Treeium","2888%","$33.4m","Construction","California","Los Angeles",,45,
"ProNexus","2874%","$6.9m","Financial Services","New York","Rochester NY",,44,
"The K Company Realty","2869%","$10m","Real Estate","Florida","Miami",,8,
"Honor Capital","2849%","$7.4m","Insurance","Massachusetts","Springfield MA",,30,
"GLOBO","2844%","$5.5m","Business Products & Services","Pennsylvania","Philadelphia",,15,
"Fin Fun","2800%","$19.4m","Retail","Idaho","Idaho Falls ID",,62,
"Approyo","2795%","$3.1m","IT Services","Wisconsin","Milwaukee-Waukesha-West Allis WI",,107,
"Cambay Consulting","2791%","$4.2m","IT Services","Texas","Houston",,80,
"Aleph Objects","2782%","$15m","Computer Hardware","Colorado","Fort Collins CO",,101,
"Melba's Old School Po' Boys","2775%","$2.9m","Food & Beverage","Louisiana","New Orleans-Metairie LA",,39,
